+--------+-----+--------+-------+------+-----+--------+-----------------------------------------------------+-------+-------+----------+-------+-------+-------+-------+--------+-----------+-----------+---------------+-----------+
| COUNT  | 1XX |  2XX   |  3XX  | 4XX  | 5XX | METHOD |                         URI                         |  MIN  |  MAX  |   SUM    |  AVG  |  P90  |  P95  |  P99  | STDDEV | MIN(BODY) | MAX(BODY) |   SUM(BODY)   | AVG(BODY) |
+--------+-----+--------+-------+------+-----+--------+-----------------------------------------------------+-------+-------+----------+-------+-------+-------+-------+--------+-----------+-----------+---------------+-----------+
| 1      | 0   | 1      | 0     | 0    | 0   | GET    | /api/isu/d4c1dd3f-79c8-4bf1-a489-a889c7932d12       | 0.560 | 0.560 | 0.560    | 0.560 | 0.560 | 0.560 | 0.560 | 0.000  | 120.000   | 120.000   | 120.000       | 120.000   |
| 1      | 0   | 1      | 0     | 0    | 0   | GET    | /api/isu/e559cc81-9040-469b-86ae-3e2a26661ed1       | 0.472 | 0.472 | 0.472    | 0.472 | 0.472 | 0.472 | 0.472 | 0.000  | 135.000   | 135.000   | 135.000       | 135.000   |
| 1      | 0   | 1      | 0     | 0    | 0   | GET    | /api/isu/fcc4fa00-7793-4602-b648-898f840d3e0b       | 0.384 | 0.384 | 0.384    | 0.384 | 0.384 | 0.384 | 0.384 | 0.000  | 120.000   | 120.000   | 120.000       | 120.000   |
| 2      | 0   | 2      | 0     | 0    | 0   | GET    | /api/isu/d9727394-0be1-4e3a-9b69-1244f35934b2       | 0.012 | 0.720 | 0.732    | 0.366 | 0.720 | 0.720 | 0.720 | 0.354  | 126.000   | 126.000   | 252.000       | 126.000   |
| 2      | 0   | 2      | 0     | 0    | 0   | GET    | /api/isu/af886b61-3ad5-4a1d-af9c-57aa170780bd/graph | 0.060 | 0.608 | 0.668    | 0.334 | 0.608 | 0.608 | 0.608 | 0.274  | 1970.000  | 3120.000  | 5090.000      | 2545.000  |
| 4      | 0   | 4      | 0     | 0    | 0   | GET    | /api/isu/aa5d15a8-1694-467b-8df8-8df6cb3582a1       | 0.000 | 0.656 | 1.236    | 0.309 | 0.656 | 0.656 | 0.656 | 0.305  | 120.000   | 120.000   | 480.000       | 120.000   |
| 1      | 0   | 1      | 0     | 0    | 0   | GET    | /api/isu/c438279a-13aa-46c9-aaf9-dcbffd53c90b       | 0.292 | 0.292 | 0.292    | 0.292 | 0.292 | 0.292 | 0.292 | 0.000  | 120.000   | 120.000   | 120.000       | 120.000   |
| 1      | 0   | 1      | 0     | 0    | 0   | GET    | /api/isu/e857ed96-020a-4d00-823e-883cea04e2e3       | 0.260 | 0.260 | 0.260    | 0.260 | 0.260 | 0.260 | 0.260 | 0.000  | 120.000   | 120.000   | 120.000       | 120.000   |
| 5      | 0   | 5      | 0     | 0    | 0   | GET    | /api/isu/b704a51b-4691-44ad-835c-92bc51b8658b/graph | 0.020 | 0.948 | 1.288    | 0.258 | 0.948 | 0.948 | 0.948 | 0.349  | 2451.000  | 2976.000  | 13341.000     | 2668.200  |
| 7      | 0   | 6      | 0     | 1    | 0   | GET    | /api/isu/da114b5b-5dd3-4544-a079-c14dabb5d1e3/graph | 0.084 | 0.396 | 1.800    | 0.257 | 0.396 | 0.396 | 0.396 | 0.119  | 0.000     | 3331.000  | 15355.000     | 2193.571  |
| 1      | 0   | 1      | 0     | 0    | 0   | GET    | /api/isu/a400d6d0-23bd-4125-8fc2-719e456c6550       | 0.256 | 0.256 | 0.256    | 0.256 | 0.256 | 0.256 | 0.256 | 0.000  | 120.000   | 120.000   | 120.000       | 120.000   |
| 4      | 0   | 4      | 0     | 0    | 0   | GET    | /api/isu/b5c3b552-aa27-4816-9548-932cbdb92d27/graph | 0.012 | 0.400 | 0.812    | 0.203 | 0.400 | 0.400 | 0.400 | 0.166  | 2462.000  | 2829.000  | 10752.000     | 2688.000  |
| 338    | 0   | 323    | 0     | 15   | 0   | POST   | /api/isu                                            | 0.052 | 1.092 | 62.242   | 0.184 | 0.356 | 0.432 | 0.980 | 0.162  | 0.000     | 137.000   | 39430.000     | 116.657   |
| 2      | 0   | 2      | 0     | 0    | 0   | GET    | /api/isu/fd771b66-4eeb-4094-9d9c-246ae2039287       | 0.368 | 0.368 | 0.368    | 0.184 | 0.368 | 0.368 | 0.368 | 0.184  | 108.000   | 108.000   | 216.000       | 108.000   |
| 1      | 0   | 1      | 0     | 0    | 0   | POST   | /initialize                                         | 0.172 | 0.172 | 0.172    | 0.172 | 0.172 | 0.172 | 0.172 | 0.000  | 18.000    | 18.000    | 18.000        | 18.000    |
| 4      | 0   | 4      | 0     | 0    | 0   | GET    | /api/isu/b785b435-c55b-46aa-92d2-9e1a9dd798af       | 0.204 | 0.248 | 0.684    | 0.171 | 0.248 | 0.248 | 0.248 | 0.100  | 117.000   | 117.000   | 468.000       | 117.000   |
| 1      | 0   | 1      | 0     | 0    | 0   | GET    | /api/isu/a58f2d16-5577-46a4-a389-558f0f3f7ef4       | 0.136 | 0.136 | 0.136    | 0.136 | 0.136 | 0.136 | 0.136 | 0.000  | 123.000   | 123.000   | 123.000       | 123.000   |
| 4      | 0   | 4      | 0     | 0    | 0   | GET    | /api/isu/f323fe51-ca63-434c-ab4c-9e917edfbf05       | 0.004 | 0.324 | 0.520    | 0.130 | 0.324 | 0.324 | 0.324 | 0.126  | 117.000   | 117.000   | 468.000       | 117.000   |
| 5      | 0   | 5      | 0     | 0    | 0   | GET    | /api/isu/b0d2a46d-9448-41f7-af96-b299bc0b6c32       | 0.008 | 0.392 | 0.592    | 0.118 | 0.392 | 0.392 | 0.392 | 0.152  | 132.000   | 132.000   | 660.000       | 132.000   |
| 7      | 0   | 6      | 0     | 1    | 0   | GET    | /api/isu/c95eed7c-0c5c-4cde-8311-6603f0f301e2       | 0.148 | 0.612 | 0.808    | 0.115 | 0.612 | 0.612 | 0.612 | 0.209  | 0.000     | 123.000   | 738.000       | 105.429   |
| 15     | 0   | 15     | 0     | 0    | 0   | GET    | /api/isu/a97aec30-70c9-430a-b679-0eacaff6f294/graph | 0.008 | 0.872 | 1.728    | 0.115 | 0.332 | 0.872 | 0.872 | 0.221  | 1970.000  | 3346.000  | 39083.000     | 2605.533  |
| 4      | 0   | 4      | 0     | 0    | 0   | GET    | /api/isu/f323fe51-ca63-434c-ab4c-9e917edfbf05/graph | 0.004 | 0.356 | 0.440    | 0.110 | 0.356 | 0.356 | 0.356 | 0.145  | 2240.000  | 2543.000  | 9788.000      | 2447.000  |
| 1      | 0   | 1      | 0     | 0    | 0   | GET    | /api/isu/d1e3744d-2300-432d-9a1e-173b4cab75a2       | 0.104 | 0.104 | 0.104    | 0.104 | 0.104 | 0.104 | 0.104 | 0.000  | 126.000   | 126.000   | 126.000       | 126.000   |
| 3      | 0   | 3      | 0     | 0    | 0   | GET    | /api/isu/da7866a3-c645-4e03-aba6-84b0dc49f494       | 0.004 | 0.232 | 0.300    | 0.100 | 0.232 | 0.232 | 0.232 | 0.096  | 132.000   | 132.000   | 396.000       | 132.000   |
| 2      | 0   | 2      | 0     | 0    | 0   | GET    | /api/isu/fa97ede5-efe1-45bd-80bc-4d0bc48ffae5/graph | 0.004 | 0.196 | 0.200    | 0.100 | 0.196 | 0.196 | 0.196 | 0.096  | 2693.000  | 2747.000  | 5440.000      | 2720.000  |
| 4      | 0   | 4      | 0     | 0    | 0   | GET    | /api/isu/fdf7a88d-eceb-4c19-a3c8-1bec32527e97/graph | 0.004 | 0.324 | 0.396    | 0.099 | 0.324 | 0.324 | 0.324 | 0.131  | 2451.000  | 3399.000  | 11127.000     | 2781.750  |
