+--------+-----+--------+-------+------+-----+--------+-----------------------------------------------------+-------+-------+----------+-------+-------+-------+-------+--------+-----------+-----------+---------------+-----------+
| COUNT  | 1XX |  2XX   |  3XX  | 4XX  | 5XX | METHOD |                         URI                         |  MIN  |  MAX  |   SUM    |  AVG  |  P90  |  P95  |  P99  | STDDEV | MIN(BODY) | MAX(BODY) |   SUM(BODY)   | AVG(BODY) |
+--------+-----+--------+-------+------+-----+--------+-----------------------------------------------------+-------+-------+----------+-------+-------+-------+-------+--------+-----------+-----------+---------------+-----------+
| 1      | 0   | 1      | 0     | 0    | 0   | GET    | /api/isu/a3900512-af88-42ce-90bc-f997ff77dba1       | 0.980 | 0.980 | 0.980    | 0.980 | 0.980 | 0.980 | 0.980 | 0.000  | 128.000   | 128.000   | 128.000       | 128.000   |
| 2      | 0   | 1      | 0     | 1    | 0   | GET    | /api/isu/d099974d-a506-4424-8a60-3664e91d4b4b       | 0.704 | 1.004 | 1.708    | 0.854 | 1.004 | 1.004 | 1.004 | 0.150  | 134.000   | 134.000   | 134.000       | 67.000    |
| 1      | 0   | 0      | 0     | 1    | 0   | GET    | /api/isu/e996146b-a2ae-4b76-96d6-9d70e870986e/icon  | 0.728 | 0.728 | 0.728    | 0.728 | 0.728 | 0.728 | 0.728 | 0.000  | 0.000     | 0.000     | 0.000         | 0.000     |
| 1      | 0   | 1      | 0     | 0    | 0   | GET    | /api/isu/b6037303-d671-4deb-8e6c-af1f70d722b2       | 0.720 | 0.720 | 0.720    | 0.720 | 0.720 | 0.720 | 0.720 | 0.000  | 134.000   | 134.000   | 134.000       | 134.000   |
| 1      | 0   | 1      | 0     | 0    | 0   | GET    | /api/isu/c08fe35e-f22a-45f3-927d-f50c7d027151       | 0.624 | 0.624 | 0.624    | 0.624 | 0.624 | 0.624 | 0.624 | 0.000  | 143.000   | 143.000   | 143.000       | 143.000   |
| 1      | 0   | 1      | 0     | 0    | 0   | GET    | /api/isu/b6444939-0c1a-41c0-ab8d-439ecbe9c513       | 0.516 | 0.516 | 0.516    | 0.516 | 0.516 | 0.516 | 0.516 | 0.000  | 155.000   | 155.000   | 155.000       | 155.000   |
| 8      | 0   | 4      | 0     | 4    | 0   | GET    | /api/isu/a11b3d04-864d-4eb6-abce-092e07dde206/graph | 0.088 | 1.012 | 3.836    | 0.480 | 1.012 | 1.012 | 1.012 | 0.413  | 0.000     | 4731.000  | 17010.000     | 2126.250  |
| 11     | 0   | 8      | 0     | 3    | 0   | GET    | /api/isu/a11b3d04-864d-4eb6-abce-092e07dde206       | 0.008 | 1.012 | 5.257    | 0.478 | 1.001 | 1.012 | 1.012 | 0.428  | 137.000   | 137.000   | 1096.000      | 99.636    |
| 8      | 0   | 6      | 0     | 2    | 0   | GET    | /api/isu/e996146b-a2ae-4b76-96d6-9d70e870986e       | 0.016 | 1.005 | 3.633    | 0.454 | 1.005 | 1.005 | 1.005 | 0.432  | 137.000   | 137.000   | 822.000       | 102.750   |
| 7      | 0   | 5      | 0     | 2    | 0   | GET    | /api/isu/fc6f09af-8404-47f5-8dcf-1f0a5c25298d       | 0.016 | 1.004 | 3.056    | 0.437 | 1.004 | 1.004 | 1.004 | 0.391  | 134.000   | 134.000   | 670.000       | 95.714    |
| 6      | 0   | 5      | 0     | 1    | 0   | GET    | /api/isu/ca58c991-e446-4fb9-b355-79c2715284ae       | 0.020 | 0.996 | 2.488    | 0.415 | 0.996 | 0.996 | 0.996 | 0.384  | 143.000   | 143.000   | 715.000       | 119.167   |
| 1      | 0   | 1      | 0     | 0    | 0   | GET    | /api/isu/c16320b4-e00d-4ba5-819c-e49ef430a84b       | 0.412 | 0.412 | 0.412    | 0.412 | 0.412 | 0.412 | 0.412 | 0.000  | 137.000   | 137.000   | 137.000       | 137.000   |
| 1      | 0   | 1      | 0     | 0    | 0   | GET    | /api/isu/e3a70377-6708-4ee9-8324-ce6aa9dbf99d       | 0.392 | 0.392 | 0.392    | 0.392 | 0.392 | 0.392 | 0.392 | 0.000  | 143.000   | 143.000   | 143.000       | 143.000   |
| 2      | 0   | 2      | 0     | 0    | 0   | GET    | /api/isu/e84b3233-80ad-435a-ad22-739a1c58c96d       | 0.368 | 0.384 | 0.752    | 0.376 | 0.384 | 0.384 | 0.384 | 0.008  | 140.000   | 140.000   | 280.000       | 140.000   |
| 1      | 0   | 1      | 0     | 0    | 0   | GET    | /api/isu/a111da57-7937-462b-8366-d4e8477203bf       | 0.368 | 0.368 | 0.368    | 0.368 | 0.368 | 0.368 | 0.368 | 0.000  | 143.000   | 143.000   | 143.000       | 143.000   |
| 1      | 0   | 1      | 0     | 0    | 0   | GET    | /api/isu/e426e2c5-1b56-43fc-9f5d-976fb6d00949       | 0.364 | 0.364 | 0.364    | 0.364 | 0.364 | 0.364 | 0.364 | 0.000  | 140.000   | 140.000   | 140.000       | 140.000   |
