+--------+-----+--------+-----+------+-----+--------+-----------------------------------------------------+-------+-------+---------+-------+-------+-------+-------+--------+-----------+-----------+--------------+-----------+
| COUNT  | 1XX |  2XX   | 3XX | 4XX  | 5XX | METHOD |                         URI                         |  MIN  |  MAX  |   SUM   |  AVG  |  P90  |  P95  |  P99  | STDDEV | MIN(BODY) | MAX(BODY) |  SUM(BODY)   | AVG(BODY) |
+--------+-----+--------+-----+------+-----+--------+-----------------------------------------------------+-------+-------+---------+-------+-------+-------+-------+--------+-----------+-----------+--------------+-----------+
| 415    | 0   | 410    | 0   | 5    | 0   | POST   | /api/isu                                            | 0.048 | 0.648 | 61.452  | 0.148 | 0.272 | 0.328 | 0.384 | 0.090  | 123.000   | 144.000   | 49930.000    | 120.313   |
| 1      | 0   | 1      | 0   | 0    | 0   | POST   | /initialize                                         | 0.132 | 0.132 | 0.132   | 0.132 | 0.132 | 0.132 | 0.132 | 0.000  | 18.000    | 18.000    | 18.000       | 18.000    |
| 1      | 0   | 1      | 0   | 0    | 0   | GET    | /api/isu/a3c58290-466f-4c1f-8fde-77b5b5993c44       | 0.060 | 0.060 | 0.060   | 0.060 | 0.060 | 0.060 | 0.060 | 0.000  | 123.000   | 123.000   | 123.000      | 123.000   |
| 1      | 0   | 1      | 0   | 0    | 0   | GET    | /api/isu/b653bf45-a084-4ed4-bd2a-af8e68e8749d       | 0.060 | 0.060 | 0.060   | 0.060 | 0.060 | 0.060 | 0.060 | 0.000  | 123.000   | 123.000   | 123.000      | 123.000   |
| 4      | 0   | 4      | 0   | 0    | 0   | GET    | /api/isu/bffc895f-b3a9-4b9a-8ffd-329072f02645       | 0.088 | 0.140 | 0.228   | 0.057 | 0.140 | 0.140 | 0.140 | 0.060  | 126.000   | 126.000   | 504.000      | 126.000   |
| 4      | 0   | 4      | 0   | 0    | 0   | GET    | /api/isu/d938d7f8-b861-456d-97e7-9da0513d6817       | 0.004 | 0.144 | 0.220   | 0.055 | 0.144 | 0.144 | 0.144 | 0.054  | 126.000   | 126.000   | 504.000      | 126.000   |
| 4      | 0   | 4      | 0   | 0    | 0   | GET    | /api/isu/f5223034-3d7d-452d-aa25-fd4826412c28       | 0.000 | 0.204 | 0.216   | 0.054 | 0.204 | 0.204 | 0.204 | 0.087  | 129.000   | 129.000   | 516.000      | 129.000   |
| 4      | 0   | 4      | 0   | 0    | 0   | GET    | /api/isu/f6763e2f-fc9b-4185-afb0-80170f3e1f45       | 0.004 | 0.140 | 0.176   | 0.044 | 0.140 | 0.140 | 0.140 | 0.057  | 123.000   | 123.000   | 492.000      | 123.000   |
| 3      | 0   | 3      | 0   | 0    | 0   | GET    | /api/isu/e9a89508-13a1-4621-8a08-6130bc4cc244/graph | 0.000 | 0.120 | 0.128   | 0.043 | 0.120 | 0.120 | 0.120 | 0.055  | 381.000   | 494.000   | 1310.000     | 436.667   |
