+--------+-----+--------+-----+------+-----+--------+-----------------------------------------------------+-------+-------+---------+-------+-------+-------+-------+--------+-----------+-----------+---------------+-----------+
| COUNT  | 1XX |  2XX   | 3XX | 4XX  | 5XX | METHOD |                         URI                         |  MIN  |  MAX  |   SUM   |  AVG  |  P90  |  P95  |  P99  | STDDEV | MIN(BODY) | MAX(BODY) |   SUM(BODY)   | AVG(BODY) |
| 2      | 0   | 2      | 0   | 0    | 0   | GET    | /api/isu/bf75b239-44d9-48a1-97a4-4a014e608f68       | 0.000 | 0.036 | 0.036   | 0.018 | 0.036 | 0.036 | 0.036 | 0.018  | 117.000   | 117.000   | 234.000       | 117.000   |
| 10     | 0   | 10     | 0   | 0    | 0   | GET    | /api/isu/e10a129a-9a52-4320-9fcd-5aca7891959d/graph | 0.004 | 0.056 | 0.176   | 0.018 | 0.032 | 0.056 | 0.056 | 0.016  | 1970.000  | 3703.000  | 27636.000     | 2763.600  |
| 3      | 0   | 3      | 0   | 0    | 0   | GET    | /api/isu/b5d7486c-74fa-43ff-adae-d660caa209db/graph | 0.004 | 0.044 | 0.052   | 0.017 | 0.044 | 0.044 | 0.044 | 0.019  | 2491.000  | 3239.000  | 8701.000      | 2900.333  |
| 4      | 0   | 4      | 0   | 0    | 0   | GET    | /api/isu/eea64b90-49bf-4c56-a736-670cec9d86f0       | 0.004 | 0.044 | 0.068   | 0.017 | 0.044 | 0.044 | 0.044 | 0.017  | 114.000   | 114.000   | 456.000       | 114.000   |
| 4      | 0   | 4      | 0   | 0    | 0   | GET    | /api/isu/e59b61db-b8ea-48fd-8fcd-5c5aa2b664c4/graph | 0.012 | 0.044 | 0.068   | 0.017 | 0.044 | 0.044 | 0.044 | 0.016  | 2352.000  | 2902.000  | 10550.000     | 2637.500  |
| 8      | 0   | 4      | 0   | 4    | 0   | GET    | /api/isu/ce6cd951-f52d-458c-9225-d6e6791f78af/graph | 0.004 | 0.044 | 0.132   | 0.017 | 0.044 | 0.044 | 0.044 | 0.014  | 14.000    | 2942.000  | 9971.000      | 1246.375  |
| 3      | 0   | 3      | 0   | 0    | 0   | GET    | /api/isu/b537fbcf-4da8-46f2-b071-afc7f183878a/graph | 0.000 | 0.048 | 0.048   | 0.016 | 0.048 | 0.048 | 0.048 | 0.023  | 1970.000  | 2352.000  | 6673.000      | 2224.333  |
| 2      | 0   | 2      | 0   | 0    | 0   | GET    | /api/isu/ea13839d-2078-4a9a-b1c0-02d3a1afb47c/graph | 0.004 | 0.028 | 0.032   | 0.016 | 0.028 | 0.028 | 0.028 | 0.012  | 1970.000  | 2243.000  | 4213.000      | 2106.500  |
| 5      | 0   | 5      | 0   | 0    | 0   | GET    | /api/isu/a7aac452-d1e8-44d2-88f0-446f2fbcfb78/graph | 0.004 | 0.052 | 0.080   | 0.016 | 0.052 | 0.052 | 0.052 | 0.018  | 1970.000  | 3148.000  | 12161.000     | 2432.200  |
| 1      | 0   | 1      | 0   | 0    | 0   | GET    | /api/isu/bf78f71d-1438-4993-bb26-ec061d44b1a2       | 0.016 | 0.016 | 0.016   | 0.016 | 0.016 | 0.016 | 0.016 | 0.000  | 114.000   | 114.000   | 114.000       | 114.000   |
| 2      | 0   | 2      | 0   | 0    | 0   | GET    | /api/isu/eedc07f9-eecf-406e-957d-7c398bd35893/graph | 0.000 | 0.032 | 0.032   | 0.016 | 0.032 | 0.032 | 0.032 | 0.016  | 2542.000  | 2543.000  | 5085.000      | 2542.500  |
| 5      | 0   | 5      | 0   | 0    | 0   | GET    | /api/isu/d188fc16-d1ed-4f0e-a5d3-3fd9e1cad4a2/graph | 0.008 | 0.028 | 0.076   | 0.015 | 0.028 | 0.028 | 0.028 | 0.011  | 1970.000  | 2835.000  | 11872.000     | 2374.400  |
| 4      | 0   | 4      | 0   | 0    | 0   | GET    | /api/isu/fea27d6e-3e59-4045-ac87-2fe47839c12c/graph | 0.004 | 0.052 | 0.060   | 0.015 | 0.052 | 0.052 | 0.052 | 0.021  | 2543.000  | 2950.000  | 10686.000     | 2671.500  |
