+--------+-----+--------+-----+------+-----+--------+-----------------------------------------------------+-------+-------+---------+-------+-------+-------+-------+--------+-----------+-----------+--------------+-----------+
| COUNT  | 1XX |  2XX   | 3XX | 4XX  | 5XX | METHOD |                         URI                         |  MIN  |  MAX  |   SUM   |  AVG  |  P90  |  P95  |  P99  | STDDEV | MIN(BODY) | MAX(BODY) |  SUM(BODY)   | AVG(BODY) |
+--------+-----+--------+-----+------+-----+--------+-----------------------------------------------------+-------+-------+---------+-------+-------+-------+-------+--------+-----------+-----------+--------------+-----------+
| 1      | 0   | 1      | 0   | 0    | 0   | POST   | /initialize                                         | 0.192 | 0.192 | 0.192   | 0.192 | 0.192 | 0.192 | 0.192 | 0.000  | 18.000    | 18.000    | 18.000       | 18.000    |
| 408    | 0   | 402    | 0   | 6    | 0   | POST   | /api/isu                                            | 0.004 | 0.712 | 62.268  | 0.153 | 0.276 | 0.348 | 0.644 | 0.116  | 0.000     | 144.000   | 48984.000    | 120.059   |
| 2      | 0   | 0      | 0   | 2    | 0   | GET    | /api/isu/ce41ebfb-96e4-44e7-b714-4b6987591107/icon  | 0.004 | 0.180 | 0.184   | 0.092 | 0.180 | 0.180 | 0.180 | 0.088  | 14.000    | 21.000    | 35.000       | 17.500    |
| 2      | 0   | 2      | 0   | 0    | 0   | GET    | /api/isu/ee45a2be-cfc6-4cc2-a7fc-74f106fbaaff/graph | 0.008 | 0.088 | 0.096   | 0.048 | 0.088 | 0.088 | 0.088 | 0.040  | 268.000   | 596.000   | 864.000      | 432.000   |
| 10     | 0   | 10     | 0   | 0    | 0   | GET    | /api/isu/c828e2a8-106b-44a5-af22-283b0589a98a/graph | 0.004 | 0.272 | 0.416   | 0.042 | 0.052 | 0.272 | 0.272 | 0.079  | 272.000   | 669.000   | 4980.000     | 498.000   |
| 11     | 0   | 11     | 0   | 0    | 0   | GET    | /api/isu/ac73b6e5-5218-4910-9d83-4702e0e61d10/graph | 0.004 | 0.300 | 0.436   | 0.040 | 0.084 | 0.300 | 0.300 | 0.086  | 264.000   | 762.000   | 5100.000     | 463.636   |
| 8      | 0   | 8      | 0   | 0    | 0   | GET    | /api/isu/af6f4491-8ea1-49e8-bc26-100f504b6980/graph | 0.004 | 0.144 | 0.268   | 0.034 | 0.144 | 0.144 | 0.144 | 0.046  | 476.000   | 809.000   | 4910.000     | 613.750   |
| 4      | 0   | 4      | 0   | 0    | 0   | GET    | /api/isu/fc663ee0-05ef-420d-87ad-b244696bd65b       | 0.004 | 0.128 | 0.132   | 0.033 | 0.128 | 0.128 | 0.128 | 0.055  | 120.000   | 120.000   | 480.000      | 120.000   |
| 1      | 0   | 1      | 0   | 0    | 0   | GET    | /api/isu/d2e3e8c2-565b-45ef-b961-f03ed66964cc       | 0.028 | 0.028 | 0.028   | 0.028 | 0.028 | 0.028 | 0.028 | 0.000  | 123.000   | 123.000   | 123.000      | 123.000   |
| 17     | 0   | 13     | 0   | 4    | 0   | GET    | /api/isu/e0205741-89ee-4a59-a7ef-b7f0efa42759/graph | 0.000 | 0.256 | 0.464   | 0.027 | 0.084 | 0.256 | 0.256 | 0.061  | 14.000    | 701.000   | 6801.000     | 400.059   |
| 2      | 0   | 2      | 0   | 0    | 0   | GET    | /api/isu/c2995afe-55d5-4916-b64e-73c4328597e2/graph | 0.008 | 0.040 | 0.048   | 0.024 | 0.040 | 0.040 | 0.040 | 0.016  | 493.000   | 552.000   | 1045.000     | 522.500   |
| 2      | 0   | 2      | 0   | 0    | 0   | GET    | /api/isu/d8210c8c-437a-48b0-8fc4-2cfbc89181f9/graph | 0.008 | 0.040 | 0.048   | 0.024 | 0.040 | 0.040 | 0.040 | 0.016  | 268.000   | 539.000   | 807.000      | 403.500   |
| 1      | 0   | 1      | 0   | 0    | 0   | GET    | /api/isu/e279d9ed-7ce0-41d8-849d-bf7aec8f40b6/graph | 0.024 | 0.024 | 0.024   | 0.024 | 0.024 | 0.024 | 0.024 | 0.000  | 480.000   | 480.000   | 480.000      | 480.000   |
| 13     | 0   | 13     | 0   | 0    | 0   | GET    | /api/isu/f0460030-f13a-48bf-bf07-9636717148d2       | 0.272 | 0.272 | 0.304   | 0.023 | 0.008 | 0.272 | 0.272 | 0.072  | 120.000   | 120.000   | 1560.000     | 120.000   |
| 12     | 0   | 12     | 0   | 0    | 0   | GET    | /api/isu/fd9600f7-75d0-4037-81e1-883bff18ea35/graph | 0.000 | 0.144 | 0.276   | 0.023 | 0.064 | 0.144 | 0.144 | 0.040  | 272.000   | 684.000   | 5619.000     | 468.250   |
| 6      | 0   | 6      | 0   | 0    | 0   | GET    | /api/isu/b358c561-2121-4903-bdc9-739ce3b5b0af/graph | 0.004 | 0.052 | 0.136   | 0.023 | 0.052 | 0.052 | 0.052 | 0.019  | 379.000   | 494.000   | 2705.000     | 450.833   |
| 7      | 0   | 7      | 0   | 0    | 0   | GET    | /api/isu/d50844e6-05ae-4481-8c69-cbde08533bb3/graph | 0.004 | 0.084 | 0.148   | 0.021 | 0.084 | 0.084 | 0.084 | 0.027  | 395.000   | 702.000   | 3812.000     | 544.571   |
| 2      | 0   | 2      | 0   | 0    | 0   | GET    | /api/isu/ebf66dce-2329-4485-bc26-3441182acc0c/graph | 0.012 | 0.028 | 0.040   | 0.020 | 0.028 | 0.028 | 0.028 | 0.008  | 267.000   | 575.000   | 842.000      | 421.000   |
| 6      | 0   | 6      | 0   | 0    | 0   | GET    | /api/isu/c0f3db86-660f-445e-9bf9-94da47953f9d/graph | 0.004 | 0.068 | 0.116   | 0.019 | 0.068 | 0.068 | 0.068 | 0.022  | 267.000   | 574.000   | 2868.000     | 478.000   |
