+--------+-----+--------+-------+------+-----+--------+-----------------------------------------------------+-------+-------+----------+-------+-------+-------+-------+--------+-----------+-----------+---------------+-----------+
| COUNT  | 1XX |  2XX   |  3XX  | 4XX  | 5XX | METHOD |                         URI                         |  MIN  |  MAX  |   SUM    |  AVG  |  P90  |  P95  |  P99  | STDDEV | MIN(BODY) | MAX(BODY) |   SUM(BODY)   | AVG(BODY) |
+--------+-----+--------+-------+------+-----+--------+-----------------------------------------------------+-------+-------+----------+-------+-------+-------+-------+--------+-----------+-----------+---------------+-----------+
| 1      | 0   | 1      | 0     | 0    | 0   | GET    | /api/isu/d48aa128-c50b-4b2b-bdb2-52e6a3763e21       | 0.548 | 0.548 | 0.548    | 0.548 | 0.548 | 0.548 | 0.548 | 0.000  | 143.000   | 143.000   | 143.000       | 143.000   |
| 2      | 0   | 2      | 0     | 0    | 0   | GET    | /api/isu/acaf32aa-18e8-4d2c-809b-b255dddfd4b4       | 0.388 | 0.640 | 1.028    | 0.514 | 0.640 | 0.640 | 0.640 | 0.126  | 146.000   | 146.000   | 292.000       | 146.000   |
| 2      | 0   | 2      | 0     | 0    | 0   | GET    | /api/isu/be6571f0-c344-42b9-8a98-60c3caa7c6fb/graph | 0.128 | 0.756 | 0.884    | 0.442 | 0.756 | 0.756 | 0.756 | 0.314  | 3363.000  | 3518.000  | 6881.000      | 3440.500  |
| 10     | 0   | 8      | 0     | 2    | 0   | GET    | /api/isu/bb12102e-435e-45eb-9e27-e7d24ad098da/graph | 0.012 | 1.012 | 4.260    | 0.426 | 1.000 | 1.012 | 1.012 | 0.370  | 3026.000  | 5465.000  | 32769.000     | 3276.900  |
| 4      | 0   | 4      | 0     | 0    | 0   | GET    | /api/isu/d25bd98f-0824-413b-bbdb-ba40c79ae10f/graph | 0.160 | 0.784 | 1.676    | 0.419 | 0.784 | 0.784 | 0.784 | 0.230  | 3699.000  | 5541.000  | 17433.000     | 4358.250  |
| 1      | 0   | 1      | 0     | 0    | 0   | GET    | /api/isu/fc0eb6b6-239f-4bff-a688-cfa1a6749102       | 0.384 | 0.384 | 0.384    | 0.384 | 0.384 | 0.384 | 0.384 | 0.000  | 134.000   | 134.000   | 134.000       | 134.000   |
| 1      | 0   | 1      | 0     | 0    | 0   | GET    | /api/isu/cef9fa89-a93a-4d02-a416-9fcf6235b800       | 0.360 | 0.360 | 0.360    | 0.360 | 0.360 | 0.360 | 0.360 | 0.000  | 134.000   | 134.000   | 134.000       | 134.000   |
| 6      | 0   | 5      | 0     | 1    | 0   | GET    | /api/isu/fb16cea8-d10e-46cf-9857-3adb1396dc8a       | 0.004 | 1.008 | 2.136    | 0.356 | 1.008 | 1.008 | 1.008 | 0.322  | 137.000   | 137.000   | 685.000       | 114.167   |
| 1      | 0   | 1      | 0     | 0    | 0   | GET    | /api/isu/a39789a0-3549-475e-ab6d-32db67d69f5e       | 0.336 | 0.336 | 0.336    | 0.336 | 0.336 | 0.336 | 0.336 | 0.000  | 146.000   | 146.000   | 146.000       | 146.000   |
| 10     | 0   | 9      | 0     | 1    | 0   | GET    | /api/isu/ae26a265-9b57-4b66-93f7-16739564ecb0       | 0.004 | 1.000 | 3.180    | 0.318 | 0.968 | 1.000 | 1.000 | 0.430  | 128.000   | 128.000   | 1152.000      | 115.200   |
| 5      | 0   | 5      | 0     | 0    | 0   | GET    | /api/isu/a4a1d153-33f0-4fec-b50c-ba37df5e5f47       | 0.052 | 0.968 | 1.535    | 0.307 | 0.968 | 0.968 | 0.968 | 0.339  | 128.000   | 128.000   | 640.000       | 128.000   |
| 4      | 0   | 4      | 0     | 0    | 0   | GET    | /api/isu/bc1a44fc-375e-4c83-9a5f-bc20bac9ec73       | 0.012 | 0.680 | 1.224    | 0.306 | 0.680 | 0.680 | 0.680 | 0.241  | 137.000   | 137.000   | 548.000       | 137.000   |
| 5      | 0   | 5      | 0     | 0    | 0   | GET    | /api/isu/ef73a8c2-02e1-467a-af52-b5f19d86e75a/graph | 0.104 | 0.852 | 1.484    | 0.297 | 0.852 | 0.852 | 0.852 | 0.284  | 4051.000  | 5071.000  | 22407.000     | 4481.400  |
| 6      | 0   | 6      | 0     | 0    | 0   | GET    | /api/isu/f66d5fb9-ee08-4334-993c-5505110bebe2       | 0.096 | 0.460 | 1.708    | 0.285 | 0.460 | 0.460 | 0.460 | 0.131  | 140.000   | 140.000   | 840.000       | 140.000   |
| 13     | 0   | 13     | 0     | 0    | 0   | GET    | /api/isu/c00724b2-7e12-4bad-9767-ffaec4680c9f/graph | 0.008 | 0.800 | 3.652    | 0.281 | 0.668 | 0.800 | 0.800 | 0.280  | 2691.000  | 6387.000  | 55997.000     | 4307.462  |
| 4      | 0   | 4      | 0     | 0    | 0   | GET    | /api/isu/de6ee08d-e30c-4951-bf31-09c250362004/graph | 0.060 | 0.748 | 1.120    | 0.280 | 0.748 | 0.748 | 0.748 | 0.278  | 3371.000  | 4037.000  | 14808.000     | 3702.000  |
| 4      | 0   | 4      | 0     | 0    | 0   | GET    | /api/isu/c177719d-6f50-4b8e-99af-a173a1063daa       | 0.040 | 0.476 | 1.108    | 0.277 | 0.476 | 0.476 | 0.476 | 0.157  | 143.000   | 143.000   | 572.000       | 143.000   |
| 6      | 0   | 5      | 0     | 1    | 0   | GET    | /api/isu/ee45b649-89d5-4be4-9107-fb569cb940ff/graph | 0.036 | 0.944 | 1.656    | 0.276 | 0.944 | 0.944 | 0.944 | 0.311  | 0.000     | 4702.000  | 21338.000     | 3556.333  |
| 6      | 0   | 5      | 0     | 1    | 0   | GET    | /api/isu/c8eae9b6-a4ac-47ad-853d-db9e89bb13a3       | 0.052 | 1.000 | 1.640    | 0.273 | 1.000 | 1.000 | 1.000 | 0.332  | 140.000   | 140.000   | 700.000       | 116.667   |
| 4      | 0   | 4      | 0     | 0    | 0   | GET    | /api/isu/d25bd98f-0824-413b-bbdb-ba40c79ae10f       | 0.052 | 0.488 | 1.084    | 0.271 | 0.488 | 0.488 | 0.488 | 0.204  | 131.000   | 131.000   | 524.000       | 131.000   |
| 9      | 0   | 9      | 0     | 0    | 0   | GET    | /api/isu/d6687744-e6ca-4ca1-b32b-c8080091535a/graph | 0.004 | 0.720 | 2.424    | 0.269 | 0.720 | 0.720 | 0.720 | 0.266  | 2691.000  | 5680.000  | 35353.000     | 3928.111  |
| 10     | 0   | 8      | 0     | 2    | 0   | GET    | /api/isu/cd0ab4a3-6e21-4a3e-a862-74693cdc089b       | 0.004 | 1.056 | 2.540    | 0.254 | 1.000 | 1.056 | 1.056 | 0.391  | 137.000   | 137.000   | 1096.000      | 109.600   |
| 5      | 0   | 4      | 0     | 1    | 0   | GET    | /api/isu/dabd81dd-5800-4986-87ea-cfd9c6d72cfe       | 0.004 | 0.684 | 1.264    | 0.253 | 0.684 | 0.684 | 0.684 | 0.237  | 0.000     | 143.000   | 572.000       | 114.400   |
| 3      | 0   | 3      | 0     | 0    | 0   | GET    | /api/isu/d579561b-ed7b-4047-830c-8fba4d8a9d67       | 0.028 | 0.412 | 0.724    | 0.241 | 0.412 | 0.412 | 0.412 | 0.160  | 140.000   | 140.000   | 420.000       | 140.000   |
| 8      | 0   | 8      | 0     | 0    | 0   | GET    | /api/isu/bc541180-4f1c-49aa-b53b-22c2bbb1c9a2/graph | 0.028 | 0.984 | 1.844    | 0.231 | 0.984 | 0.984 | 0.984 | 0.300  | 3367.000  | 5751.000  | 33493.000     | 4186.625  |
| 1      | 0   | 1      | 0     | 0    | 0   | GET    | /api/isu/d6e94ba1-f7ae-4378-9bb4-73b0dd857b86       | 0.216 | 0.216 | 0.216    | 0.216 | 0.216 | 0.216 | 0.216 | 0.000  | 146.000   | 146.000   | 146.000       | 146.000   |
| 10     | 0   | 9      | 0     | 1    | 0   | GET    | /api/isu/d326d70b-161f-4420-be57-0c56c32fef4f/graph | 0.020 | 1.000 | 2.148    | 0.215 | 0.280 | 1.000 | 1.000 | 0.272  | 3191.000  | 5874.000  | 39707.000     | 3970.700  |
| 5      | 0   | 5      | 0     | 0    | 0   | GET    | /api/isu/fa8da663-3b45-4a04-a22c-b48fd842d1fe       | 0.016 | 0.724 | 1.068    | 0.214 | 0.724 | 0.724 | 0.724 | 0.265  | 140.000   | 140.000   | 700.000       | 140.000   |
