+--------+-----+--------+-----+------+-----+--------+-----------------------------------------------------+-------+-------+---------+-------+-------+-------+-------+--------+-----------+-----------+--------------+-----------+
| COUNT  | 1XX |  2XX   | 3XX | 4XX  | 5XX | METHOD |                         URI                         |  MIN  |  MAX  |   SUM   |  AVG  |  P90  |  P95  |  P99  | STDDEV | MIN(BODY) | MAX(BODY) |  SUM(BODY)   | AVG(BODY) |
+--------+-----+--------+-----+------+-----+--------+-----------------------------------------------------+-------+-------+---------+-------+-------+-------+-------+--------+-----------+-----------+--------------+-----------+
| 428    | 0   | 421    | 0   | 7    | 0   | POST   | /api/isu                                            | 0.048 | 0.484 | 60.811  | 0.142 | 0.248 | 0.296 | 0.356 | 0.078  | 0.000     | 144.000   | 51172.000    | 119.561   |
| 1      | 0   | 1      | 0   | 0    | 0   | POST   | /initialize                                         | 0.136 | 0.136 | 0.136   | 0.136 | 0.136 | 0.136 | 0.136 | 0.000  | 18.000    | 18.000    | 18.000       | 18.000    |
| 2      | 0   | 0      | 0   | 2    | 0   | GET    | /api/isu/e1a5e233-8fc1-446c-80ca-aee352e18305/icon  | 0.004 | 0.156 | 0.160   | 0.080 | 0.156 | 0.156 | 0.156 | 0.076  | 14.000    | 21.000    | 35.000       | 17.500    |
| 2      | 0   | 2      | 0   | 0    | 0   | GET    | /api/isu/dc945339-49f1-4d67-9dee-85293d9dc356/graph | 0.012 | 0.108 | 0.120   | 0.060 | 0.108 | 0.108 | 0.108 | 0.048  | 270.000   | 392.000   | 662.000      | 331.000   |
| 1      | 0   | 1      | 0   | 0    | 0   | GET    | /api/isu/b15d06ea-4c8c-41e9-ac15-f9b4e38eb24a       | 0.056 | 0.056 | 0.056   | 0.056 | 0.056 | 0.056 | 0.056 | 0.000  | 132.000   | 132.000   | 132.000      | 132.000   |
| 1      | 0   | 1      | 0   | 0    | 0   | GET    | /api/isu/f0a12b01-029d-4c0c-9137-173acf33ce85       | 0.036 | 0.036 | 0.036   | 0.036 | 0.036 | 0.036 | 0.036 | 0.000  | 123.000   | 123.000   | 123.000      | 123.000   |
| 7      | 0   | 7      | 0   | 0    | 0   | GET    | /api/isu/eb6410cb-270b-4cba-a6a9-7ee7968fd9f7       | 0.000 | 0.212 | 0.220   | 0.031 | 0.212 | 0.212 | 0.212 | 0.074  | 123.000   | 123.000   | 861.000      | 123.000   |
| 7      | 0   | 7      | 0   | 0    | 0   | GET    | /api/isu/f343cb94-3645-4a82-aac9-e54b5f4b9b7a       | 0.004 | 0.156 | 0.200   | 0.029 | 0.156 | 0.156 | 0.156 | 0.053  | 123.000   | 123.000   | 861.000      | 123.000   |
| 4      | 0   | 4      | 0   | 0    | 0   | GET    | /api/isu/fb39f276-85d4-4322-bc3f-3b38f7ee1542       | 0.052 | 0.052 | 0.096   | 0.024 | 0.052 | 0.052 | 0.052 | 0.021  | 123.000   | 123.000   | 492.000      | 123.000   |
| 1      | 0   | 1      | 0   | 0    | 0   | GET    | /api/isu/cfa9ec6f-5121-4acf-a522-ad9d1ce1a693/graph | 0.024 | 0.024 | 0.024   | 0.024 | 0.024 | 0.024 | 0.024 | 0.000  | 386.000   | 386.000   | 386.000      | 386.000   |
| 4      | 0   | 4      | 0   | 0    | 0   | GET    | /api/isu/e55dc20e-09b5-4c89-b1f5-e713ae7f581b/graph | 0.004 | 0.044 | 0.088   | 0.022 | 0.044 | 0.044 | 0.044 | 0.015  | 531.000   | 736.000   | 2361.000     | 590.250   |
| 3      | 0   | 3      | 0   | 0    | 0   | GET    | /api/isu/ecd75adf-8727-46cd-9643-bae415541d90/graph | 0.008 | 0.036 | 0.060   | 0.020 | 0.036 | 0.036 | 0.036 | 0.012  | 269.000   | 549.000   | 1258.000     | 419.333   |
| 1      | 0   | 1      | 0   | 0    | 0   | GET    | /api/isu/ff008c71-9190-4b6f-bb3b-5c4db4cf1c46       | 0.020 | 0.020 | 0.020   | 0.020 | 0.020 | 0.020 | 0.020 | 0.000  | 129.000   | 129.000   | 129.000      | 129.000   |
| 8      | 0   | 8      | 0   | 0    | 0   | GET    | /api/isu/c3a3e733-b839-4c74-a031-1f21ab2b034a/graph | 0.004 | 0.112 | 0.156   | 0.020 | 0.112 | 0.112 | 0.112 | 0.035  | 432.000   | 693.000   | 4495.000     | 561.875   |
| 3      | 0   | 3      | 0   | 0    | 0   | GET    | /api/isu/d9c4c87b-18e3-4f6e-9ea2-6adbbdf0f16c       | 0.000 | 0.048 | 0.056   | 0.019 | 0.048 | 0.048 | 0.048 | 0.021  | 117.000   | 117.000   | 351.000      | 117.000   |
| 10     | 0   | 10     | 0   | 0    | 0   | GET    | /api/isu/b3b27df2-a8dc-4e34-973a-1f7229ae843b       | 0.004 | 0.108 | 0.176   | 0.018 | 0.028 | 0.108 | 0.108 | 0.031  | 126.000   | 126.000   | 1260.000     | 126.000   |
| 4      | 0   | 4      | 0   | 0    | 0   | GET    | /api/isu/cfa9ec6f-5121-4acf-a522-ad9d1ce1a693       | 0.020 | 0.048 | 0.068   | 0.017 | 0.048 | 0.048 | 0.048 | 0.020  | 126.000   | 126.000   | 504.000      | 126.000   |
| 4      | 0   | 4      | 0   | 0    | 0   | GET    | /api/isu/ecd75adf-8727-46cd-9643-bae415541d90       | 0.056 | 0.056 | 0.064   | 0.016 | 0.056 | 0.056 | 0.056 | 0.023  | 120.000   | 120.000   | 480.000      | 120.000   |
| 9      | 0   | 9      | 0   | 0    | 0   | GET    | /api/isu/e7379023-22e6-44a3-861f-0e4c3348bd48/graph | 0.004 | 0.072 | 0.136   | 0.015 | 0.072 | 0.072 | 0.072 | 0.023  | 267.000   | 745.000   | 4586.000     | 509.556   |
| 4      | 0   | 4      | 0   | 0    | 0   | GET    | /api/isu/a4481100-e779-4ea6-8b26-4641e5724e3b       | 0.008 | 0.052 | 0.060   | 0.015 | 0.052 | 0.052 | 0.052 | 0.022  | 126.000   | 126.000   | 504.000      | 126.000   |
| 8      | 0   | 8      | 0   | 0    | 0   | GET    | /api/isu/eb6410cb-270b-4cba-a6a9-7ee7968fd9f7/graph | 0.000 | 0.048 | 0.119   | 0.015 | 0.048 | 0.048 | 0.048 | 0.016  | 272.000   | 674.000   | 3859.000     | 482.375   |
| 7      | 0   | 7      | 0   | 0    | 0   | GET    | /api/isu/ff4758c6-29f4-4563-9a09-a5dcca9aa8d2       | 0.000 | 0.040 | 0.100   | 0.014 | 0.040 | 0.040 | 0.040 | 0.016  | 114.000   | 114.000   | 798.000      | 114.000   |
| 19     | 0   | 17     | 0   | 2    | 0   | GET    | /api/isu/e1a5e233-8fc1-446c-80ca-aee352e18305       | 0.000 | 0.212 | 0.268   | 0.014 | 0.016 | 0.212 | 0.212 | 0.047  | 14.000    | 138.000   | 2381.000     | 125.316   |
| 2      | 0   | 0      | 0   | 2    | 0   | GET    | /api/isu/cab99f63-bb3a-4648-b6df-376396f2c7ab       | 0.008 | 0.020 | 0.028   | 0.014 | 0.020 | 0.020 | 0.020 | 0.006  | 14.000    | 21.000    | 35.000       | 17.500    |
| 7      | 0   | 7      | 0   | 0    | 0   | GET    | /api/isu/d7a4733b-b707-484c-8712-f5d4d146a31b       | 0.004 | 0.056 | 0.096   | 0.014 | 0.056 | 0.056 | 0.056 | 0.020  | 123.000   | 123.000   | 861.000      | 123.000   |
| 9      | 0   | 9      | 0   | 0    | 0   | GET    | /api/isu/be6705b7-c28a-4c27-ba19-d1280120a746/graph | 0.004 | 0.072 | 0.120   | 0.013 | 0.072 | 0.072 | 0.072 | 0.022  | 267.000   | 717.000   | 4268.000     | 474.222   |
| 10     | 0   | 10     | 0   | 0    | 0   | GET    | /api/isu/c0e3b093-8c12-4579-82b7-9a4cfcdbdf74/graph | 0.004 | 0.040 | 0.132   | 0.013 | 0.028 | 0.040 | 0.040 | 0.013  | 267.000   | 672.000   | 4621.000     | 462.100   |
| 4      | 0   | 4      | 0   | 0    | 0   | GET    | /api/isu/ddc59028-519e-44b3-9f0e-6ec4853f2a73       | 0.000 | 0.024 | 0.052   | 0.013 | 0.024 | 0.024 | 0.024 | 0.009  | 132.000   | 132.000   | 528.000      | 132.000   |
| 9      | 0   | 9      | 0   | 0    | 0   | GET    | /api/isu/fb671ec9-1d54-424c-9160-81d269a4e989/graph | 0.004 | 0.052 | 0.116   | 0.013 | 0.052 | 0.052 | 0.052 | 0.016  | 272.000   | 492.000   | 3777.000     | 419.667   |
| 9      | 0   | 9      | 0   | 0    | 0   | GET    | /api/isu/a6fdd692-5704-484f-aff0-29a4afdd4371/graph | 0.004 | 0.056 | 0.112   | 0.012 | 0.056 | 0.056 | 0.056 | 0.017  | 264.000   | 725.000   | 4191.000     | 465.667   |
| 10     | 0   | 10     | 0   | 0    | 0   | GET    | /api/isu/bc999c13-52d1-495c-b515-420df337efb5       | 0.112 | 0.112 | 0.124   | 0.012 | 0.004 | 0.112 | 0.112 | 0.033  | 114.000   | 114.000   | 1140.000     | 114.000   |
| 28     | 0   | 28     | 0   | 0    | 0   | GET    | /api/isu/b7b6893b-02c8-47b6-b45b-fe11df706186       | 0.004 | 0.156 | 0.344   | 0.012 | 0.032 | 0.040 | 0.156 | 0.029  | 123.000   | 123.000   | 3444.000     | 123.000   |
| 3      | 0   | 3      | 0   | 0    | 0   | GET    | /api/isu/f3ef065c-c480-4b0c-a3d6-25ee3af96c56/graph | 0.004 | 0.024 | 0.036   | 0.012 | 0.024 | 0.024 | 0.024 | 0.009  | 379.000   | 582.000   | 1455.000     | 485.000   |
| 1      | 0   | 1      | 0   | 0    | 0   | GET    | /api/isu/f7d2fd9c-d6f3-4b2e-ba3b-c4a53f15b0bc       | 0.012 | 0.012 | 0.012   | 0.012 | 0.012 | 0.012 | 0.012 | 0.000  | 126.000   | 126.000   | 126.000      | 126.000   |
| 1      | 0   | 1      | 0   | 0    | 0   | GET    | /api/isu/ca952add-ab8b-4c0e-bc48-9d466ecdf6cb       | 0.012 | 0.012 | 0.012   | 0.012 | 0.012 | 0.012 | 0.012 | 0.000  | 123.000   | 123.000   | 123.000      | 123.000   |
| 4      | 0   | 4      | 0   | 0    | 0   | GET    | /api/isu/dd34e3c2-a4da-4285-9557-89ffa32314c9       | 0.004 | 0.032 | 0.048   | 0.012 | 0.032 | 0.032 | 0.032 | 0.012  | 120.000   | 120.000   | 480.000      | 120.000   |
| 4      | 0   | 4      | 0   | 0    | 0   | GET    | /api/isu/f97e4e07-09c7-4cd6-b2c3-e79d2c37cd63       | 0.024 | 0.024 | 0.048   | 0.012 | 0.024 | 0.024 | 0.024 | 0.012  | 129.000   | 129.000   | 516.000      | 129.000   |
| 1      | 0   | 1      | 0   | 0    | 0   | GET    | /api/isu/fa36e374-90f0-4dd4-9f5d-8856fd8f90f1       | 0.012 | 0.012 | 0.012   | 0.012 | 0.012 | 0.012 | 0.012 | 0.000  | 120.000   | 120.000   | 120.000      | 120.000   |
| 1      | 0   | 1      | 0   | 0    | 0   | GET    | /api/isu/a32ce129-531d-4ed2-9090-1e895b48c9f0       | 0.012 | 0.012 | 0.012   | 0.012 | 0.012 | 0.012 | 0.012 | 0.000  | 120.000   | 120.000   | 120.000      | 120.000   |
| 1      | 0   | 1      | 0   | 0    | 0   | GET    | /api/isu/a0f02a3a-e9e3-42c8-b9fe-a277d28ff786       | 0.012 | 0.012 | 0.012   | 0.012 | 0.012 | 0.012 | 0.012 | 0.000  | 117.000   | 117.000   | 117.000      | 117.000   |
| 4      | 0   | 4      | 0   | 0    | 0   | GET    | /api/isu/f457c7e8-05a1-41e2-9a1c-1848de5797cd       | 0.000 | 0.040 | 0.048   | 0.012 | 0.040 | 0.040 | 0.040 | 0.016  | 117.000   | 117.000   | 468.000      | 117.000   |
| 4      | 0   | 4      | 0   | 0    | 0   | GET    | /api/isu/b4a4aa26-c458-4fa0-a97e-1bb737b2fb19       | 0.004 | 0.024 | 0.048   | 0.012 | 0.024 | 0.024 | 0.024 | 0.010  | 123.000   | 123.000   | 492.000      | 123.000   |
| 1      | 0   | 1      | 0   | 0    | 0   | GET    | /api/isu/d828a472-1dbd-42dc-9ebd-f8da60a4d3be       | 0.012 | 0.012 | 0.012   | 0.012 | 0.012 | 0.012 | 0.012 | 0.000  | 114.000   | 114.000   | 114.000      | 114.000   |
| 2      | 0   | 2      | 0   | 0    | 0   | GET    | /api/isu/ddc59028-519e-44b3-9f0e-6ec4853f2a73/graph | 0.004 | 0.020 | 0.024   | 0.012 | 0.020 | 0.020 | 0.020 | 0.008  | 445.000   | 678.000   | 1123.000     | 561.500   |
| 1      | 0   | 1      | 0   | 0    | 0   | GET    | /api/isu/ad542511-c87c-4e1c-b060-ffc22d9171a0       | 0.012 | 0.012 | 0.012   | 0.012 | 0.012 | 0.012 | 0.012 | 0.000  | 123.000   | 123.000   | 123.000      | 123.000   |
| 1      | 0   | 1      | 0   | 0    | 0   | GET    | /api/isu/e77ac2d4-a2dc-4fe3-9183-bff4d926fb71       | 0.012 | 0.012 | 0.012   | 0.012 | 0.012 | 0.012 | 0.012 | 0.000  | 120.000   | 120.000   | 120.000      | 120.000   |
| 18     | 0   | 14     | 0   | 4    | 0   | GET    | /api/isu/dedbf6fe-a704-4b8c-8900-5a016e64f680/graph | 0.004 | 0.088 | 0.212   | 0.012 | 0.036 | 0.088 | 0.088 | 0.021  | 14.000    | 716.000   | 6539.000     | 363.278   |
| 5      | 0   | 5      | 0   | 0    | 0   | GET    | /api/isu/e084f6e3-a5e7-4916-ab82-bddcabefeafd/graph | 0.036 | 0.036 | 0.056   | 0.011 | 0.036 | 0.036 | 0.036 | 0.013  | 268.000   | 596.000   | 2065.000     | 413.000   |
| 5      | 0   | 5      | 0   | 0    | 0   | GET    | /api/isu/df7d65a9-b5af-4e04-b869-75a597a73de3/graph | 0.004 | 0.044 | 0.056   | 0.011 | 0.044 | 0.044 | 0.044 | 0.016  | 383.000   | 492.000   | 2201.000     | 440.200   |
