+-------+-----+-------+-----+------+-----+--------+-----------------------------------------------------+-------+-------+----------+-------+-------+-------+-------+--------+------------+------------+--------------+------------+
| COUNT | 1XX |  2XX  | 3XX | 4XX  | 5XX | METHOD |                         URI                         |  MIN  |  MAX  |   SUM    |  AVG  |  P90  |  P95  |  P99  | STDDEV | MIN(BODY)  | MAX(BODY)  |  SUM(BODY)   | AVG(BODY)  |
| 57    | 0   | 53    | 0   | 4    | 0   | GET    | /api/isu/cf360e78-f187-4282-a063-ec8e09fb70d6/graph | 0.004 | 0.052 | 0.840    | 0.015 | 0.028 | 0.032 | 0.052 | 0.010  | 14.000     | 7732.000   | 279442.000   | 4902.491   |
| 39    | 0   | 31    | 0   | 8    | 0   | GET    | /api/isu/edfe4a83-cf85-4a67-b2e6-81fe81ee037e/graph | 0.036 | 0.072 | 0.552    | 0.014 | 0.036 | 0.072 | 0.072 | 0.017  | 14.000     | 6551.000   | 144089.000   | 3694.590   |
| 58    | 0   | 58    | 0   | 0    | 0   | GET    | /api/isu/bdda556e-32aa-48c7-9c36-626f220ca8c1/graph | 0.004 | 0.044 | 0.812    | 0.014 | 0.024 | 0.032 | 0.044 | 0.009  | 2691.000   | 6881.000   | 279951.000   | 4826.741   |
| 109   | 0   | 109   | 0   | 0    | 0   | GET    | /api/isu/f1c350df-87ed-4aca-ba35-cbb4d19eb541/icon  | 0.004 | 0.056 | 1.368    | 0.013 | 0.028 | 0.036 | 0.056 | 0.011  | 26041.000  | 26041.000  | 2838469.000  | 26041.000  |
| 9475  | 0   | 8861  | 0   | 614  | 0   | GET    | /api/isu/[0-9]+                                     | 0.000 | 0.136 | 116.382  | 0.012 | 0.028 | 0.036 | 0.056 | 0.012  | 14.000     | 135259.000 | 90630975.000 | 9565.274   |
| 107   | 0   | 105   | 0   | 2    | 0   | GET    | /api/isu/fc04a4f2-e29b-4332-bcd2-2e74cade3cd4/icon  | 0.004 | 0.076 | 1.284    | 0.012 | 0.028 | 0.036 | 0.052 | 0.012  | 14.000     | 45225.000  | 4748660.000  | 44380.000  |
| 79    | 0   | 79    | 0   | 0    | 0   | GET    | /api/isu/bdda556e-32aa-48c7-9c36-626f220ca8c1       | 0.004 | 0.064 | 0.932    | 0.012 | 0.032 | 0.044 | 0.064 | 0.013  | 130.000    | 130.000    | 10270.000    | 130.000    |
| 109   | 0   | 109   | 0   | 0    | 0   | GET    | /api/isu/e470538d-bd02-4144-9bc7-82786c8fd3f0/icon  | 0.000 | 0.080 | 1.272    | 0.012 | 0.024 | 0.028 | 0.044 | 0.011  | 8720.000   | 8720.000   | 950480.000   | 8720.000   |
| 66    | 0   | 64    | 0   | 2    | 0   | GET    | /api/isu/aee02a95-c6ab-41f9-8ce2-1529ba5dda86       | 0.004 | 0.064 | 0.760    | 0.012 | 0.028 | 0.036 | 0.064 | 0.012  | 14.000     | 148.000    | 9507.000     | 144.045    |
| 111   | 0   | 105   | 0   | 6    | 0   | GET    | /api/isu/f1f5b4d8-916e-4d77-a838-a1d8c1856e67/icon  | 0.008 | 0.084 | 1.276    | 0.011 | 0.032 | 0.036 | 0.064 | 0.014  | 14.000     | 90465.000  | 9498930.000  | 85575.946  |
| 101   | 0   | 97    | 0   | 4    | 0   | GET    | /api/isu/cb96d5c5-2bd8-4e80-8aee-7c013c8478d9/icon  | 0.004 | 0.068 | 1.140    | 0.011 | 0.028 | 0.032 | 0.064 | 0.012  | 14.000     | 10799.000  | 1047573.000  | 10372.010  |
| 111   | 0   | 109   | 0   | 2    | 0   | GET    | /api/isu/da25e7be-9457-4ad8-b10a-983d81018cf6/icon  | 0.004 | 0.060 | 1.252    | 0.011 | 0.020 | 0.036 | 0.056 | 0.011  | 14.000     | 70813.000  | 7718652.000  | 69537.405  |
| 79    | 0   | 79    | 0   | 0    | 0   | GET    | /api/isu/cf360e78-f187-4282-a063-ec8e09fb70d6       | 0.004 | 0.096 | 0.864    | 0.011 | 0.024 | 0.040 | 0.096 | 0.014  | 137.000    | 137.000    | 10823.000    | 137.000    |
| 109   | 0   | 109   | 0   | 0    | 0   | GET    | /api/isu/aee02a95-c6ab-41f9-8ce2-1529ba5dda86/icon  | 0.004 | 0.064 | 1.192    | 0.011 | 0.028 | 0.040 | 0.048 | 0.012  | 16239.000  | 16239.000  | 1770051.000  | 16239.000  |
| 109   | 0   | 105   | 0   | 4    | 0   | GET    | /api/isu/c3c0a93e-e384-4260-aade-f9bc156e6565/icon  | 0.004 | 0.064 | 1.180    | 0.011 | 0.020 | 0.036 | 0.040 | 0.010  | 14.000     | 13988.000  | 1468810.000  | 13475.321  |
| 111   | 0   | 107   | 0   | 4    | 0   | GET    | /api/isu/d89b71e3-cd6b-4918-8ed5-1eb2728b32ec/icon  | 0.004 | 0.092 | 1.200    | 0.011 | 0.020 | 0.032 | 0.068 | 0.013  | 14.000     | 37514.000  | 4014068.000  | 36162.775  |
| 34    | 0   | 26    | 0   | 8    | 0   | GET    | /api/isu/e470538d-bd02-4144-9bc7-82786c8fd3f0/graph | 0.004 | 0.036 | 0.364    | 0.011 | 0.020 | 0.032 | 0.036 | 0.008  | 14.000     | 6292.000   | 127757.000   | 3757.559   |
