+--------+-----+--------+-----+------+-----+--------+-----------------------------------------------------+-------+-------+---------+-------+-------+-------+-------+--------+-----------+-----------+--------------+-----------+
| COUNT  | 1XX |  2XX   | 3XX | 4XX  | 5XX | METHOD |                         URI                         |  MIN  |  MAX  |   SUM   |  AVG  |  P90  |  P95  |  P99  | STDDEV | MIN(BODY) | MAX(BODY) |  SUM(BODY)   | AVG(BODY) |
| 1      | 0   | 1      | 0   | 0    | 0   | GET    | /api/isu/d2b71cc8-e351-43ae-ad65-7dc6982390ac       | 0.012 | 0.012 | 0.012   | 0.012 | 0.012 | 0.012 | 0.012 | 0.000  | 117.000   | 117.000   | 117.000      | 117.000   |
| 4      | 0   | 4      | 0   | 0    | 0   | GET    | /api/isu/d97abdf7-c49a-4f37-a8fc-c42c88da358e       | 0.004 | 0.040 | 0.048   | 0.012 | 0.040 | 0.040 | 0.040 | 0.016  | 108.000   | 108.000   | 432.000      | 108.000   |
| 1      | 0   | 1      | 0   | 0    | 0   | GET    | /api/isu/b48a5add-c86b-4431-8d71-6fca92947ba7       | 0.012 | 0.012 | 0.012   | 0.012 | 0.012 | 0.012 | 0.012 | 0.000  | 126.000   | 126.000   | 126.000      | 126.000   |
| 1      | 0   | 1      | 0   | 0    | 0   | GET    | /api/isu/d242469d-21c3-43fa-852c-c3014f03042d       | 0.012 | 0.012 | 0.012   | 0.012 | 0.012 | 0.012 | 0.012 | 0.000  | 114.000   | 114.000   | 114.000      | 114.000   |
| 4      | 0   | 4      | 0   | 0    | 0   | GET    | /api/isu/fc5e642f-ccc0-4aa9-925b-28d6f3f1b742       | 0.004 | 0.044 | 0.048   | 0.012 | 0.044 | 0.044 | 0.044 | 0.019  | 123.000   | 123.000   | 492.000      | 123.000   |
| 10     | 0   | 6      | 0   | 4    | 0   | GET    | /api/isu/d8655bf1-2ef0-41a5-8c68-360ee8b04380/graph | 0.000 | 0.064 | 0.116   | 0.012 | 0.012 | 0.064 | 0.064 | 0.018  | 14.000    | 656.000   | 3055.000     | 305.500   |
| 7      | 0   | 7      | 0   | 0    | 0   | GET    | /api/isu/cb6887b8-8255-4550-92d1-8828c941c754       | 0.000 | 0.068 | 0.080   | 0.011 | 0.068 | 0.068 | 0.068 | 0.023  | 123.000   | 123.000   | 861.000      | 123.000   |
| 4      | 0   | 4      | 0   | 0    | 0   | GET    | /api/isu/aa6cdd48-fe64-4390-9f58-5adbc0680109       | 0.000 | 0.040 | 0.044   | 0.011 | 0.040 | 0.040 | 0.040 | 0.017  | 123.000   | 123.000   | 492.000      | 123.000   |
| 19     | 0   | 19     | 0   | 0    | 0   | GET    | /api/isu/b3ad2baf-674f-482c-87bd-21d4e9a7e9cc       | 0.004 | 0.064 | 0.208   | 0.011 | 0.036 | 0.064 | 0.064 | 0.016  | 125.000   | 125.000   | 2375.000     | 125.000   |
| 7      | 0   | 7      | 0   | 0    | 0   | GET    | /api/isu/ea0418ac-fc04-40a2-bc68-7971961202ad/graph | 0.004 | 0.024 | 0.076   | 0.011 | 0.024 | 0.024 | 0.024 | 0.008  | 264.000   | 649.000   | 3388.000     | 484.000   |
| 11     | 0   | 11     | 0   | 0    | 0   | GET    | /api/isu/f9a77693-28bc-492b-af4b-1a9c8e32f5d3       | 0.004 | 0.036 | 0.116   | 0.011 | 0.028 | 0.036 | 0.036 | 0.013  | 126.000   | 126.000   | 1386.000     | 126.000   |
| 18     | 0   | 18     | 0   | 0    | 0   | GET    | /api/isu/e0ac181a-c2d7-4de0-af6f-e99a8ecc82e3/graph | 0.000 | 0.068 | 0.188   | 0.010 | 0.044 | 0.068 | 0.068 | 0.018  | 270.000   | 597.000   | 8561.000     | 475.611   |
| 7      | 0   | 7      | 0   | 0    | 0   | GET    | /api/isu/c976f730-6167-4cda-9fbb-dd58b9046f4f       | 0.000 | 0.040 | 0.072   | 0.010 | 0.040 | 0.040 | 0.040 | 0.014  | 120.000   | 120.000   | 840.000      | 120.000   |
| 2      | 0   | 2      | 0   | 0    | 0   | GET    | /api/isu/ead617ed-4c96-46f4-a9e8-e5c708565f3e/graph | 0.008 | 0.012 | 0.020   | 0.010 | 0.012 | 0.012 | 0.012 | 0.002  | 603.000   | 639.000   | 1242.000     | 621.000   |
| 4      | 0   | 4      | 0   | 0    | 0   | GET    | /api/isu/aea8326a-ff50-459c-b3fa-66845752b5df       | 0.008 | 0.024 | 0.040   | 0.010 | 0.024 | 0.024 | 0.024 | 0.009  | 120.000   | 120.000   | 480.000      | 120.000   |
| 2      | 0   | 2      | 0   | 0    | 0   | GET    | /api/isu/c2c7a22e-b93c-44be-8490-90865495094a/graph | 0.008 | 0.012 | 0.020   | 0.010 | 0.012 | 0.012 | 0.012 | 0.002  | 266.000   | 595.000   | 861.000      | 430.500   |
| 2      | 0   | 2      | 0   | 0    | 0   | GET    | /api/isu/c0d3defb-1a41-45de-a681-276b70118ef7/graph | 0.004 | 0.016 | 0.020   | 0.010 | 0.016 | 0.016 | 0.016 | 0.006  | 266.000   | 497.000   | 763.000      | 381.500   |
| 10     | 0   | 10     | 0   | 0    | 0   | GET    | /api/isu/ea0418ac-fc04-40a2-bc68-7971961202ad       | 0.004 | 0.044 | 0.100   | 0.010 | 0.020 | 0.044 | 0.044 | 0.013  | 120.000   | 120.000   | 1200.000     | 120.000   |
| 12     | 0   | 8      | 0   | 4    | 0   | GET    | /api/isu/e57e1b0a-b86c-46c5-8882-d8b9eb64fd64/graph | 0.000 | 0.044 | 0.116   | 0.010 | 0.032 | 0.044 | 0.044 | 0.014  | 14.000    | 849.000   | 4878.000     | 406.500   |
| 8      | 0   | 8      | 0   | 0    | 0   | GET    | /api/isu/c57b264d-61bf-4b3b-a40e-adb7ae813034/graph | 0.000 | 0.032 | 0.076   | 0.010 | 0.032 | 0.032 | 0.032 | 0.010  | 266.000   | 708.000   | 3930.000     | 491.250   |
| 3      | 0   | 3      | 0   | 0    | 0   | GET    | /api/isu/dba1d997-087d-4ba1-a939-a8853348e9e6/graph | 0.004 | 0.012 | 0.028   | 0.009 | 0.012 | 0.012 | 0.012 | 0.004  | 439.000   | 449.000   | 1330.000     | 443.333   |
| 9      | 0   | 9      | 0   | 0    | 0   | GET    | /api/isu/c412dd8e-58a8-4a73-bcca-2cf19b7bdf55/graph | 0.008 | 0.040 | 0.084   | 0.009 | 0.040 | 0.040 | 0.040 | 0.012  | 350.000   | 584.000   | 4241.000     | 471.222   |
| 10     | 0   | 10     | 0   | 0    | 0   | GET    | /api/isu/deb4a071-248e-4141-8a76-8b4699d19af2       | 0.004 | 0.020 | 0.092   | 0.009 | 0.020 | 0.020 | 0.020 | 0.008  | 126.000   | 126.000   | 1260.000     | 126.000   |
| 7      | 0   | 7      | 0   | 0    | 0   | GET    | /api/isu/ddc7d421-3a85-479f-a03a-8a65446945a7       | 0.016 | 0.040 | 0.064   | 0.009 | 0.040 | 0.040 | 0.040 | 0.014  | 114.000   | 114.000   | 798.000      | 114.000   |
| 8      | 0   | 8      | 0   | 0    | 0   | GET    | /api/isu/f9a77693-28bc-492b-af4b-1a9c8e32f5d3/graph | 0.000 | 0.036 | 0.072   | 0.009 | 0.036 | 0.036 | 0.036 | 0.011  | 272.000   | 729.000   | 4180.000     | 522.500   |
| 6      | 0   | 6      | 0   | 0    | 0   | GET    | /api/isu/f8ee3981-71fb-4517-a84a-5ecbf64d17e5/graph | 0.000 | 0.044 | 0.052   | 0.009 | 0.044 | 0.044 | 0.044 | 0.016  | 267.000   | 544.000   | 2339.000     | 389.833   |
| 117    | 0   | 113    | 0   | 4    | 0   | GET    | /api/isu/b2dd9f17-b86c-44cc-bfa6-a57b12679fd5/graph | 0.004 | 0.148 | 1.012   | 0.009 | 0.020 | 0.044 | 0.072 | 0.018  | 14.000    | 852.000   | 70120.000    | 599.316   |
| 13     | 0   | 13     | 0   | 0    | 0   | GET    | /api/isu/e57e1b0a-b86c-46c5-8882-d8b9eb64fd64       | 0.004 | 0.024 | 0.112   | 0.009 | 0.024 | 0.024 | 0.024 | 0.008  | 120.000   | 120.000   | 1560.000     | 120.000   |
| 9      | 0   | 7      | 0   | 2    | 0   | GET    | /api/isu/db4655a9-7968-48b5-89ba-35cb645a1b34       | 0.000 | 0.020 | 0.076   | 0.008 | 0.020 | 0.020 | 0.020 | 0.007  | 14.000    | 120.000   | 875.000      | 97.222    |
| 40     | 0   | 36     | 0   | 4    | 0   | GET    | /api/isu/b76442ef-8eee-426e-8bea-9a4f905f0a02/graph | 0.000 | 0.148 | 0.336   | 0.008 | 0.008 | 0.016 | 0.148 | 0.025  | 14.000    | 857.000   | 18022.000    | 450.550   |
| 12     | 0   | 12     | 0   | 0    | 0   | GET    | /api/isu/ddc7d421-3a85-479f-a03a-8a65446945a7/graph | 0.016 | 0.020 | 0.096   | 0.008 | 0.020 | 0.020 | 0.020 | 0.007  | 266.000   | 687.000   | 6221.000     | 518.417   |
| 1      | 0   | 1      | 0   | 0    | 0   | GET    | /api/isu/abbc0287-9279-4dc1-8c4e-b42f8d928433       | 0.008 | 0.008 | 0.008   | 0.008 | 0.008 | 0.008 | 0.008 | 0.000  | 126.000   | 126.000   | 126.000      | 126.000   |
| 3      | 0   | 3      | 0   | 0    | 0   | GET    | /api/isu/c485826c-0e0e-4d18-acd2-350917cd6afb/graph | 0.004 | 0.012 | 0.024   | 0.008 | 0.012 | 0.012 | 0.012 | 0.003  | 266.000   | 585.000   | 1309.000     | 436.333   |
| 1      | 0   | 1      | 0   | 0    | 0   | GET    | /api/isu/a59660d2-504e-4a2e-a22c-77aba9206f45       | 0.008 | 0.008 | 0.008   | 0.008 | 0.008 | 0.008 | 0.008 | 0.000  | 111.000   | 111.000   | 111.000      | 111.000   |
| 2      | 0   | 2      | 0   | 0    | 0   | GET    | /api/isu/fad1a081-894b-46db-9877-7170320e96fa       | 0.000 | 0.016 | 0.016   | 0.008 | 0.016 | 0.016 | 0.016 | 0.008  | 117.000   | 117.000   | 234.000      | 117.000   |
| 4      | 0   | 4      | 0   | 0    | 0   | GET    | /api/isu/c0d3defb-1a41-45de-a681-276b70118ef7       | 0.032 | 0.032 | 0.032   | 0.008 | 0.032 | 0.032 | 0.032 | 0.014  | 123.000   | 123.000   | 492.000      | 123.000   |
| 1      | 0   | 1      | 0   | 0    | 0   | GET    | /api/isu/d768caae-2e91-4154-81b9-e7e84beb6d40       | 0.008 | 0.008 | 0.008   | 0.008 | 0.008 | 0.008 | 0.008 | 0.000  | 126.000   | 126.000   | 126.000      | 126.000   |
| 1      | 0   | 1      | 0   | 0    | 0   | GET    | /api/isu/b613071a-9c78-4e62-b6fb-e386180792f7       | 0.008 | 0.008 | 0.008   | 0.008 | 0.008 | 0.008 | 0.008 | 0.000  | 108.000   | 108.000   | 108.000      | 108.000   |
| 1      | 0   | 1      | 0   | 0    | 0   | GET    | /api/isu/f03b7ada-5daf-4e34-8de3-463e8a7f743b       | 0.008 | 0.008 | 0.008   | 0.008 | 0.008 | 0.008 | 0.008 | 0.000  | 129.000   | 129.000   | 129.000      | 129.000   |
| 1      | 0   | 1      | 0   | 0    | 0   | GET    | /api/isu/d0c77c82-c38f-4f02-bd75-4080f03c3d64       | 0.008 | 0.008 | 0.008   | 0.008 | 0.008 | 0.008 | 0.008 | 0.000  | 111.000   | 111.000   | 111.000      | 111.000   |
| 2      | 0   | 2      | 0   | 0    | 0   | GET    | /api/isu/abb4a73d-4616-4ff4-b7c5-18607c50728e/graph | 0.004 | 0.012 | 0.016   | 0.008 | 0.012 | 0.012 | 0.012 | 0.004  | 272.000   | 376.000   | 648.000      | 324.000   |
| 1      | 0   | 1      | 0   | 0    | 0   | GET    | /api/isu/f72beeac-a7b2-400d-acdd-69da52dab37a       | 0.008 | 0.008 | 0.008   | 0.008 | 0.008 | 0.008 | 0.008 | 0.000  | 120.000   | 120.000   | 120.000      | 120.000   |
