+--------+-----+--------+-----+------+-----+--------+-----------------------------------------------------+-------+-------+---------+-------+-------+-------+-------+--------+-----------+-----------+--------------+-----------+
| COUNT  | 1XX |  2XX   | 3XX | 4XX  | 5XX | METHOD |                         URI                         |  MIN  |  MAX  |   SUM   |  AVG  |  P90  |  P95  |  P99  | STDDEV | MIN(BODY) | MAX(BODY) |  SUM(BODY)   | AVG(BODY) |
+--------+-----+--------+-----+------+-----+--------+-----------------------------------------------------+-------+-------+---------+-------+-------+-------+-------+--------+-----------+-----------+--------------+-----------+
| 1      | 0   | 1      | 0   | 0    | 0   | GET    | /api/isu/f1f51fc1-8f61-40de-b0ce-db7cb792f843       | 0.160 | 0.160 | 0.160   | 0.160 | 0.160 | 0.160 | 0.160 | 0.000  | 126.000   | 126.000   | 126.000      | 126.000   |
| 1      | 0   | 1      | 0   | 0    | 0   | POST   | /initialize                                         | 0.156 | 0.156 | 0.156   | 0.156 | 0.156 | 0.156 | 0.156 | 0.000  | 18.000    | 18.000    | 18.000       | 18.000    |
| 420    | 0   | 416    | 0   | 4    | 0   | POST   | /api/isu                                            | 0.048 | 0.524 | 60.740  | 0.145 | 0.252 | 0.300 | 0.396 | 0.084  | 15.000    | 141.000   | 50678.000    | 120.662   |
| 2      | 0   | 2      | 0   | 0    | 0   | GET    | /api/isu/aae26bce-8779-4d84-b2b5-732cc863983d       | 0.004 | 0.144 | 0.148   | 0.074 | 0.144 | 0.144 | 0.144 | 0.070  | 123.000   | 123.000   | 246.000      | 123.000   |
| 4      | 0   | 4      | 0   | 0    | 0   | GET    | /api/isu/da171617-6da9-4d69-a9ef-d1ca8b1f2286       | 0.004 | 0.252 | 0.272   | 0.068 | 0.252 | 0.252 | 0.252 | 0.106  | 126.000   | 126.000   | 504.000      | 126.000   |
| 4      | 0   | 4      | 0   | 0    | 0   | GET    | /api/isu/c1e9491a-48e4-4a3c-a9bc-98da2359c48f       | 0.000 | 0.252 | 0.252   | 0.063 | 0.252 | 0.252 | 0.252 | 0.109  | 120.000   | 120.000   | 480.000      | 120.000   |
| 2      | 0   | 0      | 0   | 2    | 0   | GET    | /api/isu/c77dd72f-f037-4948-98b5-323cd55079c7/icon  | 0.004 | 0.100 | 0.104   | 0.052 | 0.100 | 0.100 | 0.100 | 0.048  | 14.000    | 21.000    | 35.000       | 17.500    |
| 1      | 0   | 1      | 0   | 0    | 0   | GET    | /api/isu/b6d6c4ac-e124-4265-8e21-f1e0644293ab       | 0.040 | 0.040 | 0.040   | 0.040 | 0.040 | 0.040 | 0.040 | 0.000  | 120.000   | 120.000   | 120.000      | 120.000   |
| 1      | 0   | 1      | 0   | 0    | 0   | GET    | /api/isu/f3e87bff-b4c1-43bc-9e38-eddc64d22120       | 0.036 | 0.036 | 0.036   | 0.036 | 0.036 | 0.036 | 0.036 | 0.000  | 120.000   | 120.000   | 120.000      | 120.000   |
| 1      | 0   | 1      | 0   | 0    | 0   | GET    | /api/isu/a554e404-01f7-4ace-9278-217b801dfbcb       | 0.036 | 0.036 | 0.036   | 0.036 | 0.036 | 0.036 | 0.036 | 0.000  | 123.000   | 123.000   | 123.000      | 123.000   |
| 7      | 0   | 7      | 0   | 0    | 0   | GET    | /api/isu/d2d46602-a23a-41d5-a4fd-f54043d9dfaa       | 0.004 | 0.116 | 0.244   | 0.035 | 0.116 | 0.116 | 0.116 | 0.049  | 129.000   | 129.000   | 903.000      | 129.000   |
| 2      | 0   | 2      | 0   | 0    | 0   | GET    | /api/isu/e7f181ac-3a0c-481a-9b27-1afbe1a4dafe/graph | 0.000 | 0.060 | 0.060   | 0.030 | 0.060 | 0.060 | 0.060 | 0.030  | 270.000   | 605.000   | 875.000      | 437.500   |
| 11     | 0   | 11     | 0   | 0    | 0   | GET    | /api/isu/e6d57706-a8aa-4212-a448-e96e0e2ff01f       | 0.004 | 0.252 | 0.324   | 0.029 | 0.036 | 0.252 | 0.252 | 0.071  | 117.000   | 117.000   | 1287.000     | 117.000   |
| 2      | 0   | 2      | 0   | 0    | 0   | GET    | /api/isu/c64d4b7a-5f1d-41b0-b2f7-45e38583575b/graph | 0.004 | 0.052 | 0.056   | 0.028 | 0.052 | 0.052 | 0.052 | 0.024  | 426.000   | 479.000   | 905.000      | 452.500   |
| 9      | 0   | 9      | 0   | 0    | 0   | GET    | /api/isu/efd1eb3c-3e44-453e-afaf-023977ea7153/graph | 0.012 | 0.192 | 0.248   | 0.028 | 0.192 | 0.192 | 0.192 | 0.058  | 267.000   | 723.000   | 4196.000     | 466.222   |
| 4      | 0   | 4      | 0   | 0    | 0   | GET    | /api/isu/cf9fcd54-d2f3-4fa3-a4de-4466a1797b25       | 0.008 | 0.036 | 0.104   | 0.026 | 0.036 | 0.036 | 0.036 | 0.011  | 123.000   | 123.000   | 492.000      | 123.000   |
| 7      | 0   | 7      | 0   | 0    | 0   | GET    | /api/isu/cad2ceb6-6103-49f5-af82-b347ba4414f9/graph | 0.008 | 0.144 | 0.180   | 0.026 | 0.144 | 0.144 | 0.144 | 0.049  | 420.000   | 595.000   | 3402.000     | 486.000   |
| 7      | 0   | 7      | 0   | 0    | 0   | GET    | /api/isu/a3a21819-440e-4f52-917e-c2bf011cbedc       | 0.004 | 0.144 | 0.172   | 0.025 | 0.144 | 0.144 | 0.144 | 0.049  | 117.000   | 117.000   | 819.000      | 117.000   |
