+--------+-----+--------+-----+------+-----+--------+-----------------------------------------------------+-------+-------+---------+-------+-------+-------+-------+--------+-----------+-----------+--------------+-----------+
| COUNT  | 1XX |  2XX   | 3XX | 4XX  | 5XX | METHOD |                         URI                         |  MIN  |  MAX  |   SUM   |  AVG  |  P90  |  P95  |  P99  | STDDEV | MIN(BODY) | MAX(BODY) |  SUM(BODY)   | AVG(BODY) |
+--------+-----+--------+-----+------+-----+--------+-----------------------------------------------------+-------+-------+---------+-------+-------+-------+-------+--------+-----------+-----------+--------------+-----------+
| 1      | 0   | 1      | 0   | 0    | 0   | POST   | /initialize                                         | 0.152 | 0.152 | 0.152   | 0.152 | 0.152 | 0.152 | 0.152 | 0.000  | 18.000    | 18.000    | 18.000       | 18.000    |
| 422    | 0   | 415    | 0   | 7    | 0   | POST   | /api/isu                                            | 0.052 | 0.532 | 61.248  | 0.145 | 0.264 | 0.304 | 0.408 | 0.088  | 0.000     | 147.000   | 50533.000    | 119.746   |
| 3      | 0   | 3      | 0   | 0    | 0   | GET    | /api/isu/a0c690e8-ea32-4273-af6d-59efc5fb007f       | 0.000 | 0.240 | 0.264   | 0.088 | 0.240 | 0.240 | 0.240 | 0.108  | 120.000   | 120.000   | 360.000      | 120.000   |
| 3      | 0   | 3      | 0   | 0    | 0   | GET    | /api/isu/cbe6b2b6-a272-41ed-8cab-911e237d2e69/graph | 0.008 | 0.240 | 0.256   | 0.085 | 0.240 | 0.240 | 0.240 | 0.109  | 266.000   | 610.000   | 1259.000     | 419.667   |
| 4      | 0   | 4      | 0   | 0    | 0   | GET    | /api/isu/f2870652-7bc6-4808-bd8b-b4fb5262282f       | 0.000 | 0.240 | 0.260   | 0.065 | 0.240 | 0.240 | 0.240 | 0.101  | 121.000   | 121.000   | 484.000      | 121.000   |
| 1      | 0   | 1      | 0   | 0    | 0   | GET    | /api/isu/ed3bad8c-d02a-426e-be8f-e40bca213464       | 0.048 | 0.048 | 0.048   | 0.048 | 0.048 | 0.048 | 0.048 | 0.000  | 120.000   | 120.000   | 120.000      | 120.000   |
| 9      | 0   | 9      | 0   | 0    | 0   | GET    | /api/isu/b6194073-0805-4e0b-9cba-b9fb039e8722/graph | 0.004 | 0.248 | 0.408   | 0.045 | 0.248 | 0.248 | 0.248 | 0.074  | 383.000   | 656.000   | 4375.000     | 486.111   |
| 1      | 0   | 1      | 0   | 0    | 0   | GET    | /api/isu/f144d507-9bb0-4b24-be58-17482e341880       | 0.044 | 0.044 | 0.044   | 0.044 | 0.044 | 0.044 | 0.044 | 0.000  | 120.000   | 120.000   | 120.000      | 120.000   |
| 2      | 0   | 2      | 0   | 0    | 0   | GET    | /api/isu/d45be771-03c8-4cd4-be60-2ef2497c4319/graph | 0.008 | 0.068 | 0.076   | 0.038 | 0.068 | 0.068 | 0.068 | 0.030  | 433.000   | 538.000   | 971.000      | 485.500   |
| 2      | 0   | 2      | 0   | 0    | 0   | GET    | /api/isu/b6e64271-ddd6-496e-abe3-be42f8b6ec87/graph | 0.024 | 0.052 | 0.076   | 0.038 | 0.052 | 0.052 | 0.052 | 0.014  | 431.000   | 435.000   | 866.000      | 433.000   |
| 4      | 0   | 4      | 0   | 0    | 0   | GET    | /api/isu/b554fb48-dd46-4e79-ac86-12c8625512b3/graph | 0.000 | 0.068 | 0.120   | 0.030 | 0.068 | 0.068 | 0.068 | 0.024  | 382.000   | 580.000   | 1830.000     | 457.500   |
| 9      | 0   | 9      | 0   | 0    | 0   | GET    | /api/isu/c2c7e790-d1ce-43fd-9e6d-203016eb9b2c/graph | 0.004 | 0.240 | 0.268   | 0.030 | 0.240 | 0.240 | 0.240 | 0.074  | 270.000   | 662.000   | 4465.000     | 496.111   |
